Index,LBL Time (ms),LBL Moves,LBL CPU Usage,LBL Memory Used (MB),Blind Time (ms),Blind Moves,Blind CPU Usage,Blind Memory Used (MB),CFOP Time (ms),CFOP Moves,CFOP CPU Usage,CFOP Memory Used (MB)
0,5.997180938720703,323,2.2,7015.25390625,11.002302169799805,737,0.0,7010.10546875,5.999565124511719,349,0.0,7010.07421875
1,6.004571914672852,310,4.7,7012.1953125,12.003183364868164,753,3.2,7011.14453125,4.00090217590332,307,3.9,7011.140625
2,5.002498626708984,302,4.1,7011.140625,11.002063751220703,753,1.0,7010.953125,3.999948501586914,321,2.0,7010.046875
3,5.003452301025391,314,6.6,7012.21875,11.997461318969727,757,23.0,7012.4453125,4.000425338745117,287,7.1,7011.1328125
4,5.996942520141602,410,9.7,7011.953125,11.002540588378906,737,12.4,7023.53125,3.9970874786376953,275,0.0,7023.46875
5,7.002353668212891,400,6.2,7021.98828125,10.999679565429688,745,0.0,7021.4609375,5.003929138183594,387,2.1,7020.53125
6,6.001472473144531,404,4.5,7020.6796875,10.995626449584961,749,2.7,7017.7890625,4.00233268737793,375,1.0,7017.609375
7,4.00233268737793,288,1.0,7017.765625,11.001825332641602,757,5.2,7017.42578125,5.004167556762695,361,1.0,7017.39453125
8,5.003929138183594,280,2.2,7017.25390625,11.0015869140625,741,3.7,7015.7109375,3.0019283294677734,287,5.9,7015.26953125
9,4.995822906494141,263,0.9,7015.890625,11.0015869140625,741,5.4,7015.83984375,4.999876022338867,355,7.7,7015.83984375
10,6.016254425048828,340,7.2,7015.8359375,11.000394821166992,745,4.6,7014.98828125,4.001617431640625,301,2.0,7013.98046875
11,7.003068923950195,346,6.9,7013.9375,12.001752853393555,749,2.1,7013.9375,3.9992332458496094,347,3.0,7013.82421875
12,5.001544952392578,312,1.0,7015.59375,9.996891021728516,741,1.0,7015.5703125,5.999088287353516,347,2.1,7015.5703125
13,6.003141403198242,290,2.2,7014.125,11.00301742553711,757,0.0,7014.51171875,3.003358840942383,239,3.9,7012.921875
14,5.99980354309082,363,3.1,7012.8515625,11.001825332641602,753,1.0,7012.8515625,4.998683929443359,275,0.0,7014.34765625
15,6.001710891723633,409,0.0,7009.9765625,12.001752853393555,761,1.0,7009.9296875,5.99980354309082,347,1.1,7009.91796875
16,5.9967041015625,307,1.0,7009.80078125,11.653900146484375,769,2.9,7009.609375,5.003690719604492,355,2.9,7007.95703125
17,7.001638412475586,431,3.8,7007.765625,11.00301742553711,749,0.0,7007.70703125,5.001306533813477,315,4.3,7013.71875
18,7.0018768310546875,352,0.0,7013.61328125,12.00246810913086,765,0.0,7013.578125,4.9991607666015625,261,4.9,7013.16796875
19,6.001710891723633,324,5.4,7013.84375,11.960506439208984,765,3.1,7013.90625,5.993366241455078,391,3.6,7013.1484375
20,6.000995635986328,314,4.0,7012.15625,11.01231575012207,749,2.2,7012.1640625,4.99725341796875,329,5.2,7013.83203125
21,3.999948501586914,231,2.2,7013.5625,12.002944946289062,777,3.2,7012.87109375,4.996776580810547,349,2.2,7012.87109375
22,5.002498626708984,324,3.9,7012.87109375,9.993314743041992,753,3.1,7012.94921875,3.9975643157958984,291,0.0,7012.94140625
23,6.002187728881836,362,5.1,7011.8046875,11.001348495483398,757,1.0,7011.51171875,5.00178337097168,341,2.1,7012.91015625
24,6.000518798828125,328,2.1,7012.91796875,11.0015869140625,737,1.1,7012.8828125,4.998683929443359,285,1.1,7013.7578125
25,5.002021789550781,324,5.0,7012.3125,11.002540588378906,749,1.0,7012.25,6.001710891723633,397,2.1,7012.23046875
26,5.002260208129883,270,7.5,7011.97265625,11.002063751220703,737,6.7,7011.97265625,5.001306533813477,291,6.8,7013.03515625
27,6.266355514526367,300,9.9,7025.3515625,9.998798370361328,749,1.1,7023.2578125,4.855871200561523,339,1.1,7023.2578125
28,6.001472473144531,333,4.2,7023.1796875,11.002540588378906,753,5.2,7023.09375,6.000995635986328,253,1.0,7023.09375
29,5.002498626708984,315,3.6,7022.43359375,11.001825332641602,737,4.2,7021.421875,4.00090217590332,313,4.1,7025.28125
30,4.003047943115234,294,2.3,7025.28125,11.001348495483398,761,4.9,7025.26171875,4.998922348022461,377,4.3,7024.84765625
31,6.976604461669922,389,3.3,7024.84765625,9.996414184570312,745,1.9,7024.80078125,4.002094268798828,241,6.9,7024.79296875
32,5.002737045288086,397,3.4,7024.76953125,11.002540588378906,761,13.0,7021.8984375,3.999948501586914,319,16.2,7022.1171875
33,5.996942520141602,382,1.2,7022.1171875,11.002302169799805,741,2.0,7021.7578125,6.001949310302734,353,4.0,7021.25
34,5.999088287353516,417,2.2,7021.25,10.999917984008789,773,5.4,7021.1640625,6.9980621337890625,323,10.1,7021.1484375
35,4.998445510864258,316,8.7,7021.13671875,10.01119613647461,745,11.3,7019.5859375,3.0031204223632812,279,2.2,7021.84375
36,5.002260208129883,335,2.0,7021.84375,10.996818542480469,765,2.3,7021.73046875,4.002094268798828,373,2.1,7021.3828125
37,6.003141403198242,313,4.0,7021.19140625,10.998249053955078,773,3.0,7021.140625,4.003047943115234,317,3.1,7021.125
38,4.997730255126953,311,6.3,7020.98046875,11.0015869140625,769,2.9,7021.15234375,5.007028579711914,265,0.0,7021.24609375
39,4.99725341796875,384,0.0,7012.19140625,11.0015869140625,765,1.0,7011.71875,4.998207092285156,289,2.9,7011.71875
40,6.001710891723633,372,2.1,7011.65625,11.000871658325195,757,0.0,7011.55078125,5.002021789550781,349,1.0,7011.53125
